SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
0,2025-04-22 20:34:42.485,96,41,0,0,4,2,0,0,8,0,0,1,1,1,2,1,22,7,1,6,6,8,4,16,17,19,9,5,2,5,11,11,20,32,20,6,3,1,1,5,28,39,31,4,0,4,5,10,28,41,21,3,4,0,5,11,27,28,17,5,0,0,7,16,21,21,11,5,1,7,6,12,16,27,10,3,1,9,15,15,19,14,6,11,6,15,14,14,14,4,0,0,0,0,0,0,0,0,0
1,2025-04-22 20:34:42.496,96,41,0,0,4,2,0,1,8,0,0,1,1,1,2,1,22,7,1,6,6,8,4,16,17,19,9,5,2,5,11,11,20,32,20,6,3,1,1,5,28,39,31,4,0,4,5,10,28,41,21,3,4,0,5,11,26,28,17,5,0,0,7,15,21,20,10,5,1,7,6,12,16,27,10,3,1,9,15,15,19,14,6,11,6,15,14,14,14,4,0,0,0,0,0,0,0,0,0
2,2025-04-22 20:34:42.518,96,41,0,0,4,2,0,0,8,0,0,1,1,1,2,1,22,7,1,6,6,8,4,16,17,19,9,5,2,5,11,11,20,32,20,6,3,1,1,5,28,39,31,4,0,4,5,10,28,41,20,3,4,0,5,11,26,27,17,5,0,0,7,15,21,20,10,5,1,7,6,12,16,27,10,3,1,9,15,15,19,13,6,11,6,15,14,14,14,4,0,0,0,0,0,0,0,0,0
3,2025-04-22 20:34:42.527,96,40,0,0,4,2,0,0,8,0,0,1,1,1,2,1,22,7,1,6,6,8,4,16,17,19,9,5,2,5,11,11,20,32,20,6,3,1,1,5,28,39,30,4,0,4,5,10,28,40,20,3,4,0,5,11,26,27,17,5,0,0,7,14,20,20,10,5,1,7,6,12,15,27,9,3,1,9,15,15,18,13,5,11,6,15,14,13,14,4,0,0,0,0,0,0,0,0,0
4,2025-04-22 20:34:42.538,96,40,0,0,4,2,0,0,8,0,0,1,1,1,2,1,22,7,1,6,6,8,4,16,17,19,9,5,2,5,11,11,20,32,20,6,3,1,0,5,28,39,30,4,0,4,5,10,28,40,20,3,4,0,5,10,26,26,16,5,1,0,6,14,20,20,10,5,1,7,6,12,15,26,9,3,1,9,14,15,18,13,5,11,6,15,14,13,14,4,0,0,0,0,0,0,0,0,0
5,2025-04-22 20:34:42.549,96,40,0,0,4,2,0,0,8,0,0,1,1,1,2,1,22,7,1,6,6,8,4,16,17,19,9,5,2,5,11,11,20,32,20,6,3,1,0,5,28,39,30,4,0,4,5,10,27,40,20,3,4,0,5,10,25,26,16,5,1,0,6,14,19,19,9,5,1,7,6,11,15,26,9,3,1,9,14,15,18,13,5,11,6,15,14,13,14,4,0,0,0,0,0,0,0,0,0
6,2025-04-22 20:34:42.559,96,39,0,0,4,2,0,0,8,0,0,1,1,1,2,1,22,7,1,6,6,8,4,16,17,19,9,5,2,5,11,11,20,32,20,6,3,1,0,5,28,38,30,4,0,4,5,9,27,39,20,3,4,0,5,8,25,25,16,5,0,0,6,14,19,17,9,5,1,7,6,10,15,26,9,3,1,9,14,15,18,13,5,11,6,15,14,13,14,4,0,0,0,0,0,0,0,0,0
7,2025-04-22 20:34:42.569,96,39,0,0,4,2,0,0,8,0,0,1,1,1,2,1,22,7,1,6,6,8,4,16,17,19,9,5,2,5,11,11,20,32,20,6,3,1,0,5,28,38,30,4,0,4,5,9,27,39,20,3,4,0,5,8,25,25,16,5,0,0,6,14,19,17,9,5,1,7,6,10,15,26,9,3,1,9,14,15,18,13,5,11,6,15,14,12,14,4,0,0,0,0,0,0,0,0,0
8,2025-04-22 20:34:42.580,96,38,0,0,4,2,0,0,8,0,0,1,1,1,2,1,22,7,1,6,6,8,4,16,17,19,9,5,2,5,11,11,20,32,20,6,3,1,0,5,28,38,30,4,0,4,4,9,27,38,20,3,4,0,4,8,25,24,16,5,0,0,6,14,19,17,9,5,1,7,6,10,15,25,8,3,1,9,14,15,18,13,5,10,6,15,14,12,14,4,0,0,0,0,0,0,0,0,0
9,2025-04-22 20:34:42.589,96,38,0,0,4,2,0,0,8,0,0,1,1,1,2,1,22,7,1,6,6,8,4,16,17,19,9,5,2,5,11,11,20,32,20,6,3,1,0,5,28,38,30,4,0,4,4,9,27,38,20,3,4,0,4,8,25,24,16,5,0,0,6,14,19,17,9,5,1,7,6,10,15,25,8,3,1,9,14,15,18,13,5,10,6,15,13,12,14,4,0,0,0,0,0,0,0,0,0
