SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
0,2025-05-14 18:56:36.391,96,45,0,0,8,11,18,12,22,14,1,12,22,19,19,30,28,38,15,13,11,25,13,22,25,31,3,12,22,19,19,21,30,35,13,14,29,20,25,24,26,45,9,22,32,26,28,25,36,40,14,18,31,32,24,19,29,39,14,9,18,28,15,16,22,27,6,6,18,11,12,12,14,9,0,0,5,6,13,10,8,7,0,0,5,9,10,8,8,6,0,0,0,0,0,0,0,0,0
1,2025-05-14 18:56:36.401,96,45,0,0,8,11,18,12,21,14,1,12,22,19,19,30,28,38,14,12,11,25,12,21,25,31,0,12,22,18,19,21,30,35,12,14,29,19,24,23,26,45,9,22,32,26,27,25,36,39,14,18,31,32,23,19,29,38,14,9,18,27,15,16,22,27,6,6,18,11,12,11,14,9,0,0,5,6,13,10,8,7,0,0,5,9,10,8,8,6,0,0,0,0,0,0,0,0,0
2,2025-05-14 18:56:36.411,96,45,0,0,8,10,18,12,21,14,1,12,21,19,18,29,28,38,14,12,11,25,12,21,25,31,0,12,22,18,18,21,30,35,12,14,29,19,24,23,26,45,9,22,32,26,27,25,36,39,14,17,31,32,23,18,29,38,14,9,18,27,15,16,22,27,6,6,18,11,12,11,13,9,0,0,5,6,12,10,8,7,0,0,5,9,9,8,8,6,0,0,0,0,0,0,0,0,0
3,2025-05-14 18:56:36.421,96,45,0,0,8,10,17,12,21,14,1,12,21,19,18,29,28,38,14,12,11,25,12,20,24,31,0,12,22,18,18,21,30,35,12,14,29,19,24,23,26,45,9,22,32,26,27,25,36,39,13,17,31,32,23,18,28,38,14,9,18,27,15,16,22,27,6,6,18,11,12,11,13,8,0,0,5,6,12,10,8,7,0,0,5,9,9,7,8,5,0,0,0,0,0,0,0,0,0
4,2025-05-14 18:56:36.432,96,45,0,0,8,9,17,12,21,14,1,12,21,19,17,29,28,38,14,12,11,24,12,20,24,31,0,12,22,18,18,21,30,35,12,14,29,19,24,23,26,45,9,22,32,26,27,25,36,39,13,17,31,32,23,18,28,38,14,9,18,27,15,16,22,27,6,6,18,11,12,11,13,8,0,0,5,6,12,10,8,7,0,0,5,9,9,7,8,5,0,0,0,0,0,0,0,0,0
5,2025-05-14 18:56:36.442,96,45,0,0,8,9,17,12,21,14,1,12,20,18,17,29,28,38,14,12,11,24,12,20,24,31,0,12,22,18,18,21,30,35,12,14,29,19,24,23,26,45,9,22,32,26,27,25,36,39,13,17,31,32,23,18,28,38,14,9,18,27,15,16,22,27,6,6,18,11,12,11,13,8,0,0,5,6,12,10,8,7,0,0,5,8,9,7,8,5,0,0,0,0,0,0,0,0,0
6,2025-05-14 18:56:36.453,96,45,0,0,8,9,17,12,21,13,1,12,20,18,17,29,28,38,14,12,11,24,12,20,24,31,0,12,22,18,18,21,30,35,12,14,29,19,24,23,26,45,9,22,32,26,27,25,36,39,13,17,31,32,23,18,28,38,14,9,18,27,15,16,22,27,6,6,18,11,12,11,13,8,0,0,5,6,12,10,8,6,0,0,5,8,9,7,8,5,0,0,0,0,0,0,0,0,0
7,2025-05-14 18:56:36.463,96,45,0,0,8,9,17,12,21,13,1,12,20,18,17,29,28,38,14,12,11,24,12,20,24,31,0,12,22,18,18,21,30,35,12,14,29,19,24,23,26,45,9,22,32,26,27,25,36,39,13,17,31,32,23,18,28,38,14,9,18,27,15,16,22,27,6,6,18,11,12,11,13,8,0,0,5,6,12,10,8,6,0,0,5,8,9,7,8,5,0,0,0,0,0,0,0,0,0
8,2025-05-14 18:56:36.474,96,45,0,0,8,9,17,12,21,13,1,12,20,18,17,29,28,38,14,12,11,24,12,20,24,31,0,12,22,18,18,21,30,35,12,14,29,19,24,23,26,45,9,22,32,26,27,25,36,39,13,17,31,32,23,18,28,38,14,9,18,27,15,16,22,27,6,6,18,11,12,11,13,8,0,0,5,6,12,10,8,6,0,0,5,7,9,7,8,5,0,0,0,0,0,0,0,0,0
9,2025-05-14 18:56:36.484,96,45,0,0,8,9,17,12,21,13,1,12,20,18,17,29,28,38,14,12,11,24,12,20,24,31,0,12,22,18,18,21,30,35,12,14,29,19,24,23,26,45,9,22,32,26,27,25,36,39,13,17,31,32,23,18,28,38,14,9,18,27,15,16,22,27,6,6,18,11,12,11,13,8,0,0,5,6,12,10,8,6,0,0,5,7,9,7,8,5,0,0,0,0,0,0,0,0,0
