SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
1,2025-11-15 10:28:02.595,96,81,0,0,0,0,3,3,2,1,0,0,4,1,9,11,15,17,0,0,10,6,13,9,5,9,0,6,18,16,7,8,10,14,0,28,47,41,28,11,5,13,0,46,77,66,38,17,11,11,0,50,81,80,43,16,16,8,0,16,60,68,38,24,17,12,0,0,26,37,22,21,14,8,0,0,8,15,14,17,10,13,0,0,1,13,6,14,20,11,0,0,0,0,0,0,0,0,0
2,2025-11-15 10:28:02.616,96,81,0,0,0,0,4,3,2,1,0,0,5,1,10,12,16,18,0,0,10,6,13,9,5,10,0,8,19,17,7,8,10,15,0,29,49,43,29,12,5,13,0,48,79,68,40,18,12,11,0,50,81,80,44,17,17,8,0,16,60,68,38,24,18,13,0,0,26,36,22,21,14,8,0,0,8,15,14,17,10,13,0,0,1,13,6,14,20,11,0,0,0,0,0,0,0,0,0
3,2025-11-15 10:28:02.627,96,82,0,0,0,0,4,4,2,1,0,1,5,1,10,12,16,18,0,0,10,6,13,9,5,10,0,9,19,17,7,9,10,15,0,30,50,44,29,12,5,13,0,49,80,69,41,18,12,11,0,51,82,81,44,17,17,9,0,16,60,68,38,24,18,13,0,0,26,35,22,21,14,8,0,0,8,14,14,17,10,13,0,0,1,13,6,14,20,11,0,0,0,0,0,0,0,0,0
4,2025-11-15 10:28:02.636,96,83,0,0,0,0,4,5,3,1,0,1,5,1,11,13,16,18,0,1,10,6,13,10,5,10,0,11,19,17,7,9,11,15,0,32,52,46,30,13,6,14,0,51,81,71,42,19,12,12,0,52,83,82,44,17,17,9,0,18,61,68,38,24,18,14,0,0,25,33,22,21,14,9,0,0,7,13,14,17,10,13,0,0,1,13,6,14,20,11,0,0,0,0,0,0,0,0,0
5,2025-11-15 10:28:02.647,96,83,0,0,0,0,5,5,3,1,0,1,5,1,11,13,17,18,0,1,11,6,13,10,5,10,0,12,19,18,7,10,11,15,0,33,53,47,30,13,6,14,0,51,81,72,43,19,12,12,0,53,83,82,45,17,18,9,0,18,62,68,38,24,18,14,0,0,25,32,21,21,14,9,0,0,7,13,14,17,10,13,0,0,1,13,6,14,20,11,0,0,0,0,0,0,0,0,0
6,2025-11-15 10:28:02.659,96,84,0,0,1,0,6,6,4,1,0,1,6,1,11,13,17,19,0,1,12,7,13,10,5,10,0,12,19,18,7,10,11,16,0,34,55,49,30,13,6,15,0,52,82,74,44,19,13,13,0,53,84,83,45,17,18,10,0,18,63,69,38,24,18,14,0,0,25,32,21,21,14,9,0,0,7,13,14,17,10,13,0,0,1,13,6,15,22,11,0,0,0,0,0,0,0,0,0
7,2025-11-15 10:28:02.668,96,84,0,0,1,0,7,6,4,1,0,1,6,1,11,13,17,19,0,1,12,7,13,10,5,10,0,12,19,18,7,10,11,16,0,34,56,50,30,13,6,15,0,52,82,74,45,20,13,13,0,53,84,83,45,18,18,10,0,18,64,70,38,24,18,14,0,0,25,32,21,21,14,9,0,0,7,13,14,17,10,13,0,0,1,13,6,16,22,11,0,0,0,0,0,0,0,0,0
8,2025-11-15 10:28:02.677,96,85,0,0,1,0,7,6,4,1,0,1,6,1,12,13,17,19,0,1,12,7,13,10,5,10,0,12,19,18,7,10,12,16,0,34,58,51,31,13,7,15,0,52,83,75,46,20,13,13,0,53,85,85,47,18,18,11,0,19,65,72,40,25,19,14,0,0,25,32,21,21,14,9,0,0,7,13,14,17,10,13,0,0,1,13,6,16,23,11,0,0,0,0,0,0,0,0,0
9,2025-11-15 10:28:02.690,96,85,0,0,0,0,7,6,4,1,0,1,6,1,12,13,18,19,0,1,12,7,13,10,5,10,0,12,19,18,7,11,12,17,0,34,58,51,31,13,7,15,0,52,83,75,47,20,14,13,0,54,85,85,48,18,18,11,0,19,66,73,41,25,19,15,0,0,25,32,21,22,14,9,0,0,7,13,14,18,10,13,0,0,1,13,6,16,23,11,0,0,0,0,0,0,0,0,0
10,2025-11-15 10:28:02.699,96,86,0,0,0,0,7,6,4,1,0,1,6,1,12,13,18,19,0,1,12,7,13,11,5,10,0,12,19,18,7,11,13,17,0,34,58,51,32,13,7,15,0,53,84,75,48,21,14,13,0,54,86,86,49,19,18,11,0,20,68,75,43,26,20,15,0,0,27,33,21,22,15,10,0,0,7,13,15,18,10,13,0,0,1,13,6,16,23,11,0,0,0,0,0,0,0,0,0
11,2025-11-15 10:28:02.709,96,87,0,0,0,0,7,6,4,1,0,1,6,1,12,13,18,19,0,1,12,7,13,11,5,10,0,12,19,18,7,11,13,17,0,34,58,51,32,13,7,15,0,53,84,76,48,21,14,13,0,55,86,87,49,19,18,11,0,21,69,76,44,26,20,16,0,0,27,34,22,23,15,10,0,0,7,13,15,18,11,13,0,0,1,14,6,16,24,11,0,0,0,0,0,0,0,0,0
12,2025-11-15 10:28:02.721,96,87,0,0,0,0,7,6,4,1,0,1,7,1,12,13,18,20,0,1,13,7,13,11,5,10,0,13,19,18,7,11,13,18,0,36,59,52,32,13,7,16,0,55,85,77,49,21,14,13,0,56,87,87,50,20,18,11,0,22,70,76,46,26,20,16,0,0,28,35,22,23,15,10,0,0,7,13,16,18,11,14,0,0,1,15,6,17,24,11,0,0,0,0,0,0,0,0,0
13,2025-11-15 10:28:02.731,96,88,0,0,1,0,7,6,5,1,0,1,8,1,12,13,18,20,0,1,13,7,13,11,5,10,0,13,20,19,7,11,13,18,0,37,60,52,33,14,7,16,0,56,85,77,49,21,14,13,0,56,88,87,50,20,19,12,0,23,70,76,46,26,20,16,0,0,28,35,22,23,15,10,0,0,7,13,16,18,11,14,0,0,1,15,7,17,24,11,0,0,0,0,0,0,0,0,0
14,2025-11-15 10:28:02.753,96,89,0,0,1,1,8,7,5,1,0,1,9,1,12,13,18,20,0,1,14,7,13,11,5,10,0,14,21,20,7,11,13,18,0,39,61,54,34,14,7,16,0,57,87,77,50,21,15,13,0,57,89,88,50,20,19,12,0,24,71,76,46,26,20,16,0,0,28,35,22,23,15,10,0,0,7,13,16,18,11,14,0,0,1,15,7,17,24,11,0,0,0,0,0,0,0,0,0
15,2025-11-15 10:28:02.764,96,90,0,0,1,1,8,7,6,1,0,1,9,1,12,13,18,20,0,1,14,7,13,11,5,10,0,15,22,21,7,12,13,18,0,40,62,54,34,14,7,16,0,58,87,77,50,21,15,13,0,58,90,88,50,20,19,12,0,25,72,76,46,26,20,16,0,0,28,35,22,23,15,10,0,0,7,13,16,18,11,14,0,0,1,15,7,17,24,11,0,0,0,0,0,0,0,0,0
16,2025-11-15 10:28:02.773,96,90,0,0,1,1,8,7,6,1,0,1,9,1,12,13,18,21,0,1,15,8,13,11,5,10,0,17,23,22,7,12,13,18,0,42,64,55,35,14,8,16,0,59,88,77,50,21,15,13,0,59,90,88,50,20,19,12,0,28,73,77,46,26,20,16,0,0,28,35,22,23,15,10,0,0,7,13,16,18,11,14,0,0,1,15,7,17,24,11,0,0,0,0,0,0,0,0,0
17,2025-11-15 10:28:02.784,96,91,0,0,1,1,8,7,6,1,0,1,9,1,12,13,18,21,0,1,15,8,13,11,5,10,0,18,24,22,8,12,13,18,0,43,64,55,35,14,8,16,0,60,88,78,50,21,15,13,0,60,91,88,50,20,19,12,0,30,73,77,46,26,20,16,0,0,29,36,22,23,15,10,0,0,7,13,16,18,11,14,0,0,1,15,7,17,24,11,0,0,0,0,0,0,0,0,0
18,2025-11-15 10:28:02.795,96,91,0,0,1,1,8,7,6,2,0,1,10,1,13,13,18,21,0,1,16,8,14,11,5,10,0,19,25,22,8,12,13,18,0,45,66,57,35,14,8,16,0,62,89,78,51,21,15,13,0,60,91,89,50,20,19,12,0,33,74,78,46,26,20,16,0,1,29,36,22,23,15,10,0,0,7,13,16,18,11,14,0,0,2,15,7,17,24,11,0,0,0,0,0,0,0,0,0
19,2025-11-15 10:28:02.804,96,92,0,0,0,1,8,8,6,2,0,1,10,2,13,13,18,21,0,1,17,8,14,11,5,10,0,20,26,22,8,12,13,18,0,46,66,57,36,14,8,16,0,62,89,78,51,21,15,13,0,61,92,89,50,20,19,12,0,34,74,78,46,26,20,16,0,1,30,36,22,23,15,10,0,0,7,13,16,18,11,14,0,0,3,15,7,17,24,11,0,0,0,0,0,0,0,0,0
20,2025-11-15 10:28:02.819,96,92,0,0,0,1,8,8,6,2,0,1,12,2,14,13,18,21,0,2,17,9,14,11,5,10,0,22,26,23,9,13,13,18,0,48,68,59,37,14,8,17,0,63,90,80,51,21,15,13,0,62,92,90,50,20,19,12,0,36,74,78,46,26,20,16,0,1,30,36,22,23,15,10,0,0,7,13,16,18,12,14,0,0,3,15,7,17,24,11,0,0,0,0,0,0,0,0,0
